685,800
704,768
711,785
723,818
735,834
752,854
768,865
785,882
811,904
824,928
861,956
892,976
911,994
938,1012
965,1029
972,1041
997,1058
1020,1078
1028,1093
1031,1106
1041,1118
1050,1102
1065,1094
1078,1073
1084,1046
1089,1024
1090,982
1096,954
1096,921
1100,895
1110,868
1113,859
1115,851
1119,863
1131,881
1142,904
1157,951
1164,973
1169,999
1169,1019
1173,1037
1166,1050
1156,1063
1142,1081
1123,1089
1096,1098
1089,1105
1089,1118
1092,1138
1092,1152
1093,1171
1089,1189
1079,1204
1066,1220
1066,1220
1061,1224
1044,1210
1028,1196
960,1120
937,1110
917,1097
880,1064
860,1053
840,1042
799,1005
771,970
748,937
729,905
712,885
693,867
683,845
676,826
676,816
