708,508
690,492
678,476
669,468
669,444
669,417
673,389
676,371
675,342
673,330
684,287
682,290
697,259
707,236
720,215
734,197
751,183
763,168
799,150
817,137
843,125
865,120
885,114
907,110
935,107
949,107
972,111
989,113
1014,123
1037,133
1060,145
1077,154
1088,167
1101,178
1119,198
1132,215
1146,236
1160,257
1164,285
1174,317
1183,350
1182,379
1183,402
1181,422
1184,441
1186,454
1188,459
1180,461
1176,444
1178,428
1174,397
1176,371
1173,334
1161,297
1156,272
1143,251
1127,224
1106,193
1088,175
1068,157
1053,145
1010,128
977,119
945,111
922,113
888,120
862,129
822,147
795,155
777,170
754,193
739,210
734,247
730,271
727,296
725,322
719,345
719,371
721,398
723,415
715,442
