695,793
707,773
711,760
711,735
711,712
705,687
702,662
701,657
686,658
669,650
656,622
654,603
650,587
643,570
634,548
636,528
634,505
637,488
641,478
653,470
660,468
670,466
671,462
679,441
681,412
684,375
684,334
687,301
693,269
708,239
716,218
733,198
754,184
766,170
789,152
810,141
833,133
851,124
868,119
881,116
908,111
934,111
971,111
994,117
1019,127
1047,138
1076,157
1093,165
1116,193
1128,214
1147,246
1161,273
1165,295
1172,325
1177,350
1179,377
1179,402
1179,426
1182,445
1185,460
1191,458
1197,454
1208,460
1215,476
1217,493
1219,511
1214,529
1209,544
1209,554
1207,571
1206,585
1209,595
1206,611
1206,624
1202,636
1193,644
1193,652
1184,689
1183,705
1177,721
1168,739
1161,757
1149,777
1139,794
1130,812
1125,828
1115,842
1111,866
1113,883
1109,914
1108,935
1108,963
1105,985
1102,1009
1101,1030
1089,1052
1075,1070
1052,1081
1014,1090
979,1093
946,1088
889,1059
