86,1397
85,1384
91,1356
101,1328
126,1282
148,1243
151,1241
161,1228
178,1217
183,1206
190,1194
215,1174
231,1153
248,1135
263,1118
289,1094
312,1074
330,1062
353,1048
376,1036
395,1018
411,1010
449,988
474,975
506,966
533,945
549,929
564,917
573,909
591,885
596,867
610,841
616,823
629,804
638,800
652,798
670,796
683,794
692,794
678,812
674,832
680,845
695,860
700,874
710,887
725,897
740,917
748,936
763,958
775,971
794,984
818,1007
832,1017
855,1038
874,1051
889,1069
920,1093
951,1113
976,1132
1014,1161
1012,1176
1033,1200
1048,1216
1063,1226
1079,1213
1092,1188
1089,1176
1092,1148
1092,1133
1092,1112
1091,1097
1108,1092
1126,1085
1138,1078
1154,1063
1164,1048
1169,1033
1171,1006
1166,988
1159,961
1154,940
1144,908
1136,887
1123,869
1118,856
1128,856
1142,864
1154,883
1165,898
1177,909
1203,935
1219,945
1242,964
1260,996
1275,1012
1292,1017
1309,1021
1334,1043
1353,1059
1373,1080
1393,1096
1416,1124
1433,1144
1452,1163
1470,1176
1479,1195
1487,1213
1499,1250
1509,1285
1516,1328
1521,1358
1523,1377
1527,1387
1528,1396
